err
1.77E-08
1.68E-08
1.57E-08
1.50E-08
1.45E-08
1.41E-08
1.39E-08
1.37E-08
1.35E-08
1.32E-08
1.30E-08
1.28E-08
1.26E-08
1.26E-08
1.26E-08
1.25E-08
1.25E-08
1.25E-08
1.25E-08
1.24E-08
1.24E-08
1.24E-08
1.23E-08
1.23E-08
1.23E-08
1.22E-08
1.22E-08
1.22E-08
1.22E-08
1.22E-08
1.22E-08
1.22E-08
